source,biological_context,cid,canonical_smiles,isomeric_smiles,molecular_formula,molecular_weight,cytotoxic_label,potency_value,potency_metric,potency_unit,n_assays_active,n_assays_tested,potency_um,cytotox_median_um,cytotox_lower_bound_um,nhit,ntested,dtxsid,casrn,name,assay_description
ToxCast,off-target-safety,107,C1=CC=C(C=C1)CCC(=O)O,C1=CC=C(C=C1)CCC(=O)O,C9H10O2,150.17,1,1000.0,burst_median_AC50,uM,1,70,1000.0,1000.0,1000.0,1,70,DTXSID2047064,501-52-0,Hydrocinnamic acid,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,119,C(CC(=O)O)CN,C(CC(=O)O)CN,C4H9NO2,103.12,0,1000.0,burst_median_AC50,uM,0,14,1000.0,1000.0,1000.0,0,14,DTXSID6035106,56-12-2,4-Aminobutanoic acid,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,135,C1=CC(=CC=C1C(=O)O)O,C1=CC(=CC=C1C(=O)O)O,C7H6O3,138.12,1,1000.0,burst_median_AC50,uM,1,69,1000.0,1000.0,1000.0,1,69,DTXSID3026647,99-96-7,4-Hydroxybenzoic acid,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,174,C(CO)O,C(CO)O,C2H6O2,62.07,1,65.5566981317213,burst_median_AC50,uM,5,87,65.5566981317213,65.5566981317213,11.6498497693501,5,87,DTXSID8020597,107-21-1,Ethylene glycol,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,176,CC(=O)O,CC(=O)O,C2H4O2,60.05,1,1000.0,burst_median_AC50,uM,3,86,1000.0,1000.0,1000.0,3,86,DTXSID5024394,64-19-7,Acetic acid,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,177,CC=O,CC=O,C2H4O,44.05,1,45.1911384106236,burst_median_AC50,uM,65,69,45.1911384106236,45.1911384106236,8.030757930057,65,69,DTXSID5039224,75-07-0,Acetaldehyde,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,178,CC(=O)N,CC(=O)N,C2H5NO,59.07,1,1000.0,burst_median_AC50,uM,1,87,1000.0,1000.0,1000.0,1,87,DTXSID7020005,60-35-5,Acetamide,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,179,CC(C(=O)C)O,CC(C(=O)C)O,C4H8O2,88.11,1,1000.0,burst_median_AC50,uM,1,70,1000.0,1000.0,1000.0,1,70,DTXSID0024399,513-86-0,Acetoin,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,180,CC(=O)C,CC(=O)C,C3H6O,58.08,0,1000.0,burst_median_AC50,uM,0,67,1000.0,1000.0,1000.0,0,67,DTXSID8021482,67-64-1,Acetone,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,190,C1=NC2=NC=NC(=C2N1)N,C1=NC2=NC=NC(=C2N1)N,C5H5N5,135.13,0,1000.0,burst_median_AC50,uM,0,66,1000.0,1000.0,1000.0,0,66,DTXSID6022557,73-24-5,Adenine,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,196,C(CCC(=O)O)CC(=O)O,C(CCC(=O)O)CC(=O)O,C6H10O4,146.14,1,1000.0,burst_median_AC50,uM,2,88,1000.0,1000.0,1000.0,2,88,DTXSID7021605,124-04-9,Hexanedioic acid,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,204,C1(C(=O)NC(=O)N1)NC(=O)N,C1(C(=O)NC(=O)N1)NC(=O)N,C4H6N4O3,158.12,0,1000.0,burst_median_AC50,uM,0,73,1000.0,1000.0,1000.0,0,73,DTXSID3020043,97-59-6,Allantoin,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,205,CC(C(C(=O)O)N)O,CC(C(C(=O)O)N)O,C4H9NO3,119.12,0,1000.0,burst_median_AC50,uM,0,65,1000.0,1000.0,1000.0,0,65,DTXSID2046412,72-19-5,L-Threonine,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
